event,timestamp_ns
pattern_start,1756724607227579000
fixation_start,1756724607675968000
fixation_end,1756724609676783000
fixation_start,1756724610152863000
fixation_end,1756724612154077000
fixation_start,1756724612626923000
fixation_end,1756724614627762000
fixation_start,1756724615101600000
fixation_end,1756724617102866000
fixation_start,1756724617586590000
fixation_end,1756724619587820000
pattern_end,1756724621589404000
