fixation_index,x_px,y_px,rel_x,rel_y
0,1152,450,0.8,0.5
1,1069,608,0.743,0.676
2,853,706,0.593,0.785
3,586,706,0.407,0.785
4,370,608,0.257,0.676
5,288,450,0.2,0.5
6,370,291,0.257,0.324
7,586,193,0.407,0.215
8,853,193,0.593,0.215
9,1069,291,0.743,0.324
