fixation_index,count,first_frame_idx,last_frame_idx
0,43,2294,2336
1,43,2347,2389
2,43,2400,2442
3,43,2453,2495
4,43,2506,2548
5,43,2559,2601
6,42,2613,2654
7,43,2665,2707
8,43,2718,2760
9,43,2771,2813
