fixation_index,count,first_frame_idx,last_frame_idx
0,43,2971,3013
1,43,3023,3065
2,43,3077,3119
3,43,3130,3172
4,43,3183,3225
5,43,3236,3278
6,42,3289,3330
7,43,3342,3384
8,43,3395,3437
9,43,3448,3490
