fixation_index,x_px,y_px,rel_x,rel_y
0,144,450,0.1,0.5
1,259,450,0.18,0.5
2,374,450,0.26,0.5
3,489,450,0.34,0.5
4,604,450,0.42,0.5
5,720,450,0.5,0.5
6,835,450,0.58,0.5
7,950,450,0.66,0.5
8,1065,450,0.74,0.5
9,1180,450,0.82,0.5
